PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, AV06
Station name, AKU_AkutPtAK2005
Begin Date, 2005-06-22
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, AV06.pbo.nam08.pos
Offset from source file, -12.60 mm North, -7.17 mm East, 12.53 mm Vertical
Reference position, 54.1471796925 North Latitude, -165.7657206321 East Longitude, 463.09852 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2006-03-29,-3.95, -1.20, 1.41, 1.87, 1.41, 5.86, repro,
2006-03-30,-4.28, -2.20, -2.56, 2.01, 1.51, 6.29, repro,
2006-03-31,-1.23, 1.50, 5.79, 1.96, 1.47, 6.14, repro,
2006-04-01,-0.59, 1.52, -0.19, 1.99, 1.49, 6.25, repro,
2006-04-02,-2.05, -1.51, -1.54, 1.96, 1.47, 6.16, repro,
2006-04-03,-2.28, -1.97, -16.41, 2.07, 1.55, 6.55, repro,
2006-04-04,-2.63, 0.81, -5.68, 1.98, 1.49, 6.26, repro,
2006-04-05,-0.70, 1.38, 0.32, 1.75, 1.32, 5.54, repro,
2006-04-06,1.38, 0.27, 3.55, 1.81, 1.36, 5.71, repro,
2006-04-07,-2.15, -2.21, -7.84, 2.02, 1.54, 6.42, repro,
2006-04-08,-3.61, 1.07, 3.37, 1.99, 1.5, 6.35, repro,
2006-04-09,-2.17, 0.58, -0.29, 1.82, 1.37, 5.74, repro,
2006-04-10,-1.04, 0.08, 0.57, 1.82, 1.38, 5.75, repro,
2006-04-11,-2.47, -1.57, -8.48, 2.11, 1.61, 6.85, repro,
2006-04-12,-3.65, 2.71, 8.30, 2.12, 1.58, 6.77, repro,
2006-04-13,1.35, -3.90, -7.25, 1.92, 1.44, 6.05, repro,
2006-04-14,-1.38, -1.24, -3.24, 1.89, 1.43, 5.98, repro,
2006-04-15,-2.83, -0.20, -1.98, 1.78, 1.35, 5.68, repro,
2006-04-16,-3.07, -0.56, -2.51, 2.04, 1.53, 6.47, repro,
2006-04-17,-2.61, -1.19, -6.60, 1.79, 1.36, 5.67, repro,
2006-04-18,-4.62, 2.10, -4.17, 1.81, 1.37, 5.72, repro,
2006-04-19,-3.39, 0.08, -4.33, 1.71, 1.31, 5.43, repro,
2006-04-20,-2.78, 0.91, -3.29, 1.84, 1.38, 5.82, repro,
2006-04-21,-2.86, -0.37, -6.53, 1.78, 1.37, 5.69, repro,
2006-04-22,-2.71, -0.73, -4.29, 1.69, 1.3, 5.4, repro,
2006-04-23,-3.64, -0.48, -11.09, 1.62, 1.24, 5.18, repro,
2006-04-24,-2.79, -0.48, -9.01, 1.57, 1.2, 5.01, repro,
2006-04-25,-1.10, -0.28, -3.00, 1.75, 1.35, 5.56, repro,
2006-04-26,-2.16, -0.86, -5.43, 1.66, 1.29, 5.27, repro,
2006-04-27,-6.36, -1.27, -4.75, 1.8, 1.4, 5.76, repro,
2006-04-28,-3.75, 1.43, -8.22, 1.73, 1.33, 5.5, repro,
2006-04-29,-6.30, 0.40, -10.50, 1.71, 1.32, 5.49, repro,
2006-04-30,-2.38, 0.32, -6.43, 1.57, 1.22, 5.07, repro,
2006-05-01,-4.66, -0.05, -7.86, 1.69, 1.31, 5.45, repro,
2006-05-02,-2.99, -0.04, -12.48, 1.69, 1.31, 5.46, repro,
2006-05-03,-1.90, 0.35, -10.87, 1.73, 1.33, 5.64, repro,
2006-05-04,-0.63, -0.06, -7.24, 1.83, 1.4, 5.9, repro,
2006-05-05,-3.11, -0.71, -4.85, 1.89, 1.44, 6.14, repro,
2006-05-06,-3.49, 1.23, 2.28, 1.78, 1.36, 5.83, repro,
